GEOGRAPHY,YEAR,VIOLATIONS,INCIDENTS,RATES
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2014 12:00:00 AM,Total property crime violations,555,2696.53
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2013 12:00:00 AM,Total property crime violations,744,3621.14
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2012 12:00:00 AM,Total property crime violations,808,3918.53
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2011 12:00:00 AM,Total property crime violations,752,3645.71
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2010 12:00:00 AM,Total property crime violations,841,4054.18
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2017 12:00:00 AM,Total violent Criminal Code violations,204,986.56
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2016 12:00:00 AM,Total violent Criminal Code violations,251,1217.38
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 12:00:00 AM,Total violent Criminal Code violations,222,1080.82
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2014 12:00:00 AM,Total violent Criminal Code violations,254,1234.09
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2013 12:00:00 AM,Total violent Criminal Code violations,312,1518.54
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2012 12:00:00 AM,Total violent Criminal Code violations,322,1561.59
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2011 12:00:00 AM,Total violent Criminal Code violations,310,1502.88
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2010 12:00:00 AM,Total violent Criminal Code violations,320,1542.61
"Annapolis Royal, Nova Scotia, municipal",12/31/2017 12:00:00 AM,"Total, all Criminal Code violations (excluding traffic)",71,
"Annapolis Royal, Nova Scotia, municipal",12/31/2016 12:00:00 AM,"Total, all Criminal Code violations (excluding traffic)",62,
"Annapolis Royal, Nova Scotia, municipal",12/31/2015 12:00:00 AM,"Total, all Criminal Code violations (excluding traffic)",42,
"Annapolis Royal, Nova Scotia, municipal",12/31/2014 12:00:00 AM,"Total, all Criminal Code violations (excluding traffic)",46,
"Annapolis Royal, Nova Scotia, municipal",12/31/2013 12:00:00 AM,"Total, all Criminal Code violations (excluding traffic)",64,
"Annapolis Royal, Nova Scotia, municipal",12/31/2012 12:00:00 AM,"Total, all Criminal Code violations (excluding traffic)",60,
"Annapolis Royal, Nova Scotia, municipal",12/31/2011 12:00:00 AM,"Total, all Criminal Code violations (excluding traffic)",63,
"Annapolis Royal, Nova Scotia, municipal",12/31/2010 12:00:00 AM,"Total, all Criminal Code violations (excluding traffic)",50,
"Annapolis Royal, Nova Scotia, municipal",12/31/2017 12:00:00 AM,Total other Criminal Code violations,11,
"Annapolis Royal, Nova Scotia, municipal",12/31/2016 12:00:00 AM,Total other Criminal Code violations,19,
"Annapolis Royal, Nova Scotia, municipal",12/31/2015 12:00:00 AM,Total other Criminal Code violations,15,
"Annapolis Royal, Nova Scotia, municipal",12/31/2014 12:00:00 AM,Total other Criminal Code violations,20,
"Annapolis Royal, Nova Scotia, municipal",12/31/2013 12:00:00 AM,Total other Criminal Code violations,25,
"Annapolis Royal, Nova Scotia, municipal",12/31/2012 12:00:00 AM,Total other Criminal Code violations,25,
"Annapolis Royal, Nova Scotia, municipal",12/31/2011 12:00:00 AM,Total other Criminal Code violations,21,
"Annapolis Royal, Nova Scotia, municipal",12/31/2010 12:00:00 AM,Total other Criminal Code violations,6,
"Annapolis Royal, Nova Scotia, municipal",12/31/2017 12:00:00 AM,Total property crime violations,49,
"Annapolis Royal, Nova Scotia, municipal",12/31/2016 12:00:00 AM,Total property crime violations,33,
"Annapolis Royal, Nova Scotia, municipal",12/31/2015 12:00:00 AM,Total property crime violations,18,
"Annapolis Royal, Nova Scotia, municipal",12/31/2014 12:00:00 AM,Total property crime violations,15,
"Annapolis Royal, Nova Scotia, municipal",12/31/2013 12:00:00 AM,Total property crime violations,25,
"Annapolis Royal, Nova Scotia, municipal",12/31/2012 12:00:00 AM,Total property crime violations,22,
"Annapolis Royal, Nova Scotia, municipal",12/31/2011 12:00:00 AM,Total property crime violations,21,
"Annapolis Royal, Nova Scotia, municipal",12/31/2010 12:00:00 AM,Total property crime violations,33,
"Annapolis Royal, Nova Scotia, municipal",12/31/2017 12:00:00 AM,Total violent Criminal Code violations,11,
"Annapolis Royal, Nova Scotia, municipal",12/31/2016 12:00:00 AM,Total violent Criminal Code violations,10,
"Annapolis Royal, Nova Scotia, municipal",12/31/2015 12:00:00 AM,Total violent Criminal Code violations,9,
"Annapolis Royal, Nova Scotia, municipal",12/31/2014 12:00:00 AM,Total violent Criminal Code violations,11,
