Total other Criminal Code violations,Total property crime violations,Total violent Criminal Code violations,"Total, all Criminal Code violations (excluding traffic)",Rate Total other Criminal Code violations,Rate Total property crime violations,Rate Total violent Criminal Code violations,"Rate Total, all Criminal Code violations (excluding traffic)",geography,year
242.0,555.0,316.0,1113.0,2454.86,5629.95,3205.52,11290.32,"Amherst, Nova Scotia, municipal",2010
289.0,553.0,235.0,1077.0,2916.54,5580.79,2371.58,10868.91,"Amherst, Nova Scotia, municipal",2011
218.0,650.0,256.0,1124.0,2236.59,6668.72,2626.45,11531.75,"Amherst, Nova Scotia, municipal",2012
227.0,486.0,217.0,930.0,2368.28,5070.42,2263.95,9702.66,"Amherst, Nova Scotia, municipal",2013
190.0,461.0,198.0,849.0,1999.79,4852.12,2083.99,8935.9,"Amherst, Nova Scotia, municipal",2014
182.0,561.0,173.0,916.0,1930.83,5951.62,1835.35,9717.8,"Amherst, Nova Scotia, municipal",2015
199.0,582.0,184.0,965.0,2131.53,6233.93,1970.87,10336.33,"Amherst, Nova Scotia, municipal",2016
204.0,660.0,242.0,1106.0,2202.55,7125.89,2612.83,11941.27,"Amherst, Nova Scotia, municipal",2017
168.0,841.0,320.0,1329.0,809.87,4054.18,1542.61,6406.67,"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",2010
174.0,752.0,310.0,1236.0,843.55,3645.71,1502.88,5992.15,"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",2011
198.0,808.0,322.0,1328.0,960.23,3918.53,1561.59,6440.35,"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",2012
196.0,744.0,312.0,1252.0,953.96,3621.14,1518.54,6093.64,"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",2013
174.0,555.0,254.0,983.0,845.4,2696.53,1234.09,4776.02,"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",2014
157.0,539.0,222.0,918.0,764.36,2624.15,1080.82,4469.33,"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",2015
